COMMON,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PTEN
6115122,2.086,2.086,2.782,2.806,2.69
6115123,2.032,2.01,2.04,2.016,-0.59
6115219,3.558,3.558,1.514,3.024,-1
6115224,1.988,1.988,2.062,1.946,1.364
6115227,2.084,2.084,1.968,2.048,-0.768
6115233,3.402,3.624,1.238,2.168,-1
6115234,1.632,2.246,0.874,1.092,-0.036
6115237,3.25,3.282,2.03,1.836,1.876
6115242,2.59,5.582,1.19,1.88,0.636
6115247,2.008,2.008,2.032,1.978,0.556
6115250,3.876,3.876,0.132,1.972,0.074
6115251,3.372,3.456,1.24,2.224,0.486
SC_9001,3.218,3.218,1.438,2.19,1.114
SC_9003,1.626,1.626,2.214,2.22,-0.13
SC_9005,2.118,2.118,2.448,1.694,1.246
SC_9007,2.39,2.39,2.064,2.11,2.012
SC_9008,1.964,1.832,1.87,3.922,0.308
SC_9009,1.992,1.992,0.8,0.796,1.966
SC_9010,3.128,3.956,1.82,2.866,1.368
SC_9011,2.02,2.02,1.814,0.93,0.008
SC_9012,1.994,2.018,2.034,1.918,1.232
SC_9016,3,2.614,1.94,2,1.38
SC_9017,7.34,7.598,1.952,1.67,1.846
SC_9018,2.246,2.246,2.224,1.97,1.804
SC_9019,2.02,2.02,1.978,2.046,2.014
SC_9020,2.51,2.51,1.04,1.874,-0.116
SC_9021,2.08,4.67,1.358,2.036,1.17
SC_9022,6.154,5.508,1.586,1.688,0.942
SC_9023,2.408,2.408,1.068,1.644,1.88
SC_9024,2.484,2.526,0.578,1.978,0.054
SC_9026,1.244,1.35,1.38,2.834,2.172
SC_9027,1.936,1.936,0.912,2.04,1.334
SC_9028,2.552,2.552,2.27,2.468,1.368
SC_9029,1.98,1.98,1.976,2.008,2
SC_9030,1.918,2.07,1.002,4.018,3.88
SC_9031,2.04,2.04,1.99,2.048,0.64
SC_9032,2.042,1.07,1.252,3.082,1.038
SC_9034,2.88,2.128,1.552,2.432,1.904
SC_9035,2.584,2.584,2.092,1.132,0.654
SC_9036,2.024,2.024,1.42,2.014,2.058
SC_9037,2.938,2.938,2.014,1.992,1.514
SC_9038,4.98,3.168,0.776,1.962,1.97
SC_9039,2.814,2.218,1.272,3.754,1.52
SC_9043,1.894,1.978,2.14,3.414,0.438
SC_9046,1.184,2.392,2.106,2.318,0.396
SC_9047,2.688,2.192,1.644,2.374,2.058
SC_9048,2.066,1.906,1.616,2.044,1.94
SC_9049,2.372,2.232,2.13,2.732,2.314
SC_9050,3.962,3.962,2.168,3.52,-1
SC_9054,2.492,2.49,1.452,3.266,0.99
SC_9055,2.554,2.554,1.49,2.18,3.12
SC_9056,1.936,2.078,1.982,1.986,2.026
SC_9057,4.904,4.904,0.562,3.434,-0.882
SC_9058,2.586,2.458,2.174,2.33,0.964
SC_9059,5.3,5.3,1.882,3.058,-0.5
SC_9060,3.6,3.732,2.05,2.83,1.078
SC_9061,3.104,2.454,0.642,1.688,2.636
SC_9062,1.986,4.108,2.472,2.028,0.914
SC_9063,2.422,2.422,2.21,2.296,-0.968
SC_9065,2.006,2.006,2.05,2.012,0.746
SC_9066,2.058,2.182,1.43,2.664,-0.728
SC_9068,2.744,3.608,1.688,2.808,0.616
SC_9071,3.964,2.772,1.974,3.16,1.486
SC_9072,1.16,1.968,1.162,2.044,1.728
